id,機種名,変更日,変更内容,変更内容詳細,評価内容,評価内容詳細,評価結果
CP-001,NE-UBS10A,2023-02-10,赤外線センサーの高分解能化,スイングサーチ赤外線センサーの検知素子を従来の低画素品から高分解能品へ変更。食品表面温度の検知エリア分割数が増え、複数食品の同時あたため精度向上を狙う。,自動あたため性能評価および温度検知精度検証,標準負荷(水負荷・ごはん・冷凍食品)での仕上がり温度ばらつきを新旧センサーで比較測定。2品同時あたための温度差、および連続運転時のセンサードリフトを確認。,合格
CP-002,NE-UBS10A,2023-04-12,スチームポンプの供給元変更,スチームユニット用ダイヤフラムポンプの供給元を変更。吐出量特性は同等仕様だが、モーター巻線と弁材質が異なるため互換性評価が必要。,スチーム発生量・耐久性・騒音評価,スチーム発生量の立ち上がり特性と定常吐出量を新旧比較。ポンプ単体の連続運転耐久試験(想定寿命相当)と、製品搭載状態での動作音の官能評価を実施。,合格
CP-003,NE-UBS10A,2022-11-15,庫内コーティングのフッ素系からセラミック系への変更,庫内側面・底面のコーティングをフッ素系塗装からセラミック系コーティングへ変更。高温オーブン運転時の耐熱性向上と清掃性維持が目的。,耐熱性・清掃性・食品衛生法適合評価,最高温度オーブン運転の繰り返しによる塗膜の変色・剥離確認、汚れ焼き付き後の拭き取り性比較、食品接触材料としての溶出試験を実施。,合格
CP-004,NE-UBS10A,2023-03-08,自動あたためアルゴリズムの制御ソフト改良,赤外線センサーと湿度センサーの併用判定ロジックを改良し、少量負荷での加熱過多を抑制。マイコンソフトのバージョンアップのみでハード変更なし。,ソフト回帰テストおよび加熱性能評価,全自動メニューの回帰テストを実施し、変更対象外メニューの挙動不変を確認。少量負荷(飲み物1杯・ごはん100g)での仕上がり温度を旧ソフトと比較。,合格
CP-005,NE-UBS10A,2022-08-24,平面ヒーター発熱体の変更,上面平面ヒーターの発熱体パターンを変更し、庫内温度分布の均一化を図る。定格消費電力は変更なし。,オーブン温度分布・グリル焼きムラ評価,庫内多点熱電対による温度分布測定と、トースト・グラタンでの焼き色ムラ官能評価を新旧ヒーターで比較。ヒーター単体の断線耐久試験も実施。,合格
CP-006,NE-UBS10A,2024-06-05,カラータッチ液晶パネルの部品変更(生産終了対応),操作部のカラータッチ液晶モジュールが供給元の生産終了(EOL)となるため後継品へ変更。表示解像度は同等だがタッチICが異なる。,タッチ操作性・表示品位・EMC評価,タッチ検出感度と誤検出(水滴・手袋操作)の確認、視野角・輝度の表示品位比較、タッチIC変更に伴う雑音端子電圧・放射妨害波の再測定を実施。,条件付き合格
CP-007,NE-UBS10A,2023-07-19,ドアガラス印刷工程の変更,ドアガラスの遮熱印刷をスクリーン印刷から転写方式へ変更し、印刷ラインを集約。印刷膜厚と外観意匠の同等性確認が必要。,外観品位・耐熱耐久・マイクロ波漏洩評価,印刷部の外観検査基準による限度見本比較、高温高湿保存とオーブン運転繰り返し後の印刷剥がれ確認、ドア周りのマイクロ波漏洩量測定を実施。,合格
CP-008,NE-UBS10A,2024-04-08,インバーター基板の電解コンデンサ供給元変更,インバーター電源基板の平滑用電解コンデンサを複数購買化のため第二供給元品を追加。静電容量・耐圧は同一定格。,電気性能・寿命加速試験・リップル電流評価,定格出力運転時のリップル電流実測とコンデンサ温度上昇測定、高温負荷寿命加速試験による容量抜けの確認、インバーター出力波形の新旧比較を実施。,合格
CP-009,NE-UBS10A,2023-01-25,梱包緩衝材の発泡スチロールからパルプモールドへの変更,環境対応として梱包緩衝材をEPS(発泡スチロール)からパルプモールドへ変更。脱プラスチック施策の一環で、保護性能の同等性確認が必要。,輸送振動・落下試験による梱包保護性能評価,JIS規格に準拠した輸送振動試験および角・稜・面の落下試験を実施し、製品外観・ドア開閉・加熱動作の異常有無を確認。高湿保管後の緩衝材強度低下も評価。,合格
CP-010,NE-UBS10A,2024-09-25,無線LANモジュールのファームウェア更新,スマホ連携用無線LANモジュールのファームウェアをセキュリティ対応版へ更新。無線部の動作モードに変更があるため電波法の工事設計認証の確認が必要。,電波法認証確認・接続互換性・ソフト回帰テスト,工事設計認証の範囲内であることの技術基準適合確認、主要スマートフォンおよびルーターとの接続互換性試験、アプリ連携機能の回帰テストを実施。,合格
CP-011,NE-BS9A,2023-05-15,ドアパッキンのシリコーンからEPDMへの材質変更,コストダウンと供給安定化のため、ドアパッキンをシリコーンゴムからEPDMゴムへ変更。マイクロ波シール性と耐熱性の同等性確認が必要。,マイクロ波漏洩・耐熱老化・圧縮永久ひずみ評価,ドア全周のマイクロ波漏洩量測定、高温老化後のパッキン硬度変化と圧縮永久ひずみ測定、スチーム運転繰り返し後のシール性確認を実施。,合格
CP-012,NE-BS9A,2023-06-20,赤外線センサーの高分解能化(上位機種からの横展開),NE-UBS10Aで採用した高分解能赤外線センサーを本機種へ横展開。取り付けブラケットと検知視野の機種差分があるため個別評価が必要。,自動あたため性能評価および検知視野確認,本機種の庫内形状でのセンサー検知視野マッピングを実施し、庫内四隅の食品検知可否を確認。標準負荷での自動あたため仕上がり温度を従来センサーと比較。,合格
CP-013,NE-BS9A,2023-08-25,スチームポンプの供給元変更(上位機種からの横展開),NE-UBS10Aで切り替えた新供給元のスチームポンプを本機種にも適用。本機種はタンク位置が異なり吸入側配管が長いため、吐出特性の再確認が必要。,スチーム発生量・呼び水特性・耐久評価,配管長差を考慮した初回呼び水時間と吐出量安定性を測定。長期間欠運転での気泡噛みによる吐出不良の再現試験を実施。,条件付き合格
CP-014,NE-BS9A,2023-07-10,自動あたためアルゴリズムの制御ソフト改良,少量負荷の加熱過多抑制ロジックを上位機種と共通化。センサー構成の差分に合わせて判定しきい値を機種別に調整。,ソフト回帰テストおよび少量負荷加熱評価,全自動メニューの回帰テストと、飲み物1杯・少量惣菜での仕上がり温度分布測定を実施。しきい値調整による大負荷側への影響がないことを確認。,合格
CP-015,NE-BS9A,2023-01-31,マグネトロン冷却ファンの軸受変更,冷却ファンモーターの軸受を含油軸受からボールベアリングへ変更。高温環境での軸受寿命向上と回転音の低減を狙う。,騒音・寿命・冷却性能評価,製品搭載状態での運転音の周波数分析と官能評価、高温環境での連続運転寿命試験、マグネトロン温度飽和特性の新旧比較を実施。,合格
CP-016,NE-BS9A,2023-04-26,操作パネルシートの材質変更,操作部の加飾シートをPET系から耐指紋コート付きPET系へ変更。印刷インクの密着性が異なるため耐久確認が必要。,耐摩耗・耐薬品・外観品位評価,ボタン部の押下摩耗試験、台所用洗剤・アルコールによる拭き取り耐性試験、恒温恒湿保存後の印刷剥がれ・シート浮き確認を実施。,合格
